bldg_id,A_annual_mean_kwh,A_annual_std_kwh,A_annual_sum_kwh,A_p10,A_p25,A_p50,A_p75,A_p90,A_p95,A_p99,A_max_kwh,A_min_kwh,A_cv,A_load_factor,A_skew,A_kurtosis,A_p05,A_p99_p01_ratio,A_zero_hours_ratio,A_above_mean_ratio,A_range_kwh,A_p01,A_p15,A_p85,A_mad,B_winter_mean_kwh,B_winter_std_kwh,B_spring_mean_kwh,B_spring_std_kwh,B_summer_mean_kwh,B_summer_std_kwh,B_fall_mean_kwh,B_fall_std_kwh,B_winter_summer_ratio,B_seasonal_amplitude,B_month01_mean_kwh,B_month02_mean_kwh,B_month03_mean_kwh,B_month04_mean_kwh,B_month05_mean_kwh,B_month06_mean_kwh,B_month07_mean_kwh,B_month08_mean_kwh,B_month09_mean_kwh,B_month10_mean_kwh,B_month11_mean_kwh,B_month12_mean_kwh,C_morning_peak_ratio,C_evening_peak_ratio,C_overnight_ratio,C_midday_ratio,C_evening_morning_ratio,C_peak_hour,C_peak_hour_value,C_trough_hour,D_cold_n_hours,D_cold_mean_kwh,D_cold_std_kwh,D_cold_max_kwh,D_cold_ramp_std,D_cold_ramp_abs_mean,D_cold_autocorr_1h,D_cold_temp_load_corr,D_mild_n_hours,D_mild_mean_kwh,D_mild_std_kwh,D_mild_max_kwh,D_mild_ramp_std,D_mild_ramp_abs_mean,D_mild_autocorr_1h,D_mild_temp_load_corr,D_warm_n_hours,D_warm_mean_kwh,D_warm_std_kwh,D_warm_max_kwh,D_warm_ramp_std,D_warm_ramp_abs_mean,D_warm_autocorr_1h,D_warm_temp_load_corr,D_hot_n_hours,D_hot_mean_kwh,D_hot_std_kwh,D_hot_max_kwh,D_hot_ramp_std,D_hot_ramp_abs_mean,D_hot_autocorr_1h,D_hot_temp_load_corr,D_ratio_cold_over_warm,D_ratio_cold_over_hot,D_ratio_mild_over_warm,D_ratio_hot_over_cold,D_temp_load_corr_all,E_slope_cold,E_slope_mild,E_slope_warm,E_slope_hot,E_slope_zone40_65F,E_slope_zone0_40F,E_slope_kink_ratio,E_zone40F_jump,E_power_iqr,E_power_p90_p10_ratio
127,2.1224434,1.5427191,18594.727,0.7513899803161621,0.944350004196167,1.6616699695587158,2.755159854888916,4.220190048217773,5.296020030975342,7.3621001243591255,12.0034,0.26706,0.7268599,0.17682019,1.7614199,4.1208463,0.6752099990844727,11.789773350420713,0.0,0.3812350188334665,11.73634,0.6244479775428772,0.8082000017166138,3.605799913406372,1.1630518,1.3667134,1.0334445,1.9034961,1.4308789,3.3874853,1.5558579,1.8126243,1.2837137,0.40345958,1.529425,1.368243,1.3756708,1.4912436,1.5895995,2.6195195,3.3074772,3.6416714,3.2107258,2.4410064,1.7076521,1.2927133,1.3570915,0.6778511,1.5888145,0.62904423,1.0245091,2.343899,19,3.6795192,4,676,1.2919086,0.9308252,9.0091305,1.0709286,0.38823825,0.2977835106488527,-0.031083788554285074,2314,1.2382439,0.98836875,10.52823,1.0109218,0.4090856,0.4163062810051969,-0.04069655493043974,2997,1.6842855,1.075563,10.96408,1.0395508,0.47198293,0.5021063492085236,0.2898558214968283,2774,3.5357952,1.488797,12.0034,1.0988799,0.6144003,0.7296140393905581,0.7079657307274897,0.7670366,0.36537993,0.7351746,2.7368772,0.6212892221464515,-0.006532694271632633,-0.0013416886329650976,0.0612175059318543,0.17160044806344163,0.0038823625019618383,-0.006532694271632633,-1.6826595322645754,-0.10247052,1.810809850692749,5.616510944745424
174,1.6555095,1.4409484,14503.918,0.389490008354187,0.5246099829673767,1.1929099559783936,2.2917399406433105,3.761270046234131,4.638010025024414,5.602243995666499,13.03214,0.13097,0.8703957,0.12703282,1.7629797,4.898163,0.36017999053001404,16.736705483311013,0.0,0.37678347220636915,12.90117,0.3347280025482178,0.42611998319625854,3.1229300498962402,1.1058881,0.81538194,0.72427267,1.2708203,1.1895592,3.1732,1.3474053,1.3413377,1.1269228,0.2569589,1.867121,0.79822767,0.8570615,0.8520055,0.83106387,2.1152058,3.1936839,3.3743172,2.9522593,2.037877,1.2382537,0.75131834,0.79491335,0.6748642,1.5658895,0.7009228,0.95323175,2.3203032,20,2.7582426,5,676,0.82203466,0.64632833,9.49856,0.6148597,0.16746263,0.5242210697033053,-0.013014396577474642,2314,0.7369595,0.68016106,10.0239105,0.6459443,0.20182535,0.5013685143256227,-0.04966726851959873,2997,1.1115067,0.8447199,10.344561,0.67821956,0.2565596,0.6209951213050153,0.4347469746685727,2774,3.2125857,1.296949,13.03214,0.87004477,0.40054023,0.7757483195490834,0.7290358427536158,0.7395679,0.25587946,0.6630275,3.9080904,0.7002414564924562,0.0017017013686043826,-0.002110360860824578,0.07823596477508547,0.13741862842014851,-0.0009805359159197153,0.0017017013686043826,-1.7354809150547374,0.0018926263,1.7671299576759338,9.656910230194605
428,0.97495514,1.5548587,8541.582,0.27121999859809875,0.28143998980522156,0.3513199985027313,1.212480068206787,2.3259899616241455,2.9922800064086914,5.119038009643554,33.429672,0.25772,1.5948002,0.029164365,8.701256,119.71159,0.2663300037384033,19.574023878870577,0.0,0.31035269946353156,33.17195,0.2615220069885254,0.27546000480651855,1.8407299518585205,0.82125527,1.808147,1.9145578,0.6953057,1.2712483,0.5690591,1.1739553,0.8436171,1.4481261,3.1774328,1.0386856,2.1136913,1.8269781,0.75159913,0.7327391,0.6027864,0.59103686,0.5461653,0.570684,0.5541001,0.72431684,1.2564111,1.485183,1.3144675,0.8458421,0.81464314,1.1415807,0.64348644,9,1.4269315,16,676,3.0566204,1.523632,28.86531,1.2993975,0.43012482,0.6163544404743437,-0.4902730833446973,2314,1.3000389,1.8717977,33.429672,1.7818058,0.49161953,0.4319595895046266,-0.23238296896825586,2997,0.6391071,1.2413327,25.38726,1.3527551,0.3784235,0.4047625753619907,-0.04996378209836481,2774,0.5593413,1.0225617,21.94886,1.1261415,0.29002255,0.4501599551281733,0.03147832242695322,4.782642,5.4646783,2.0341487,0.18299338,-0.3841157772077992,-0.11931033270699638,-0.06730741500854494,-0.011693427562713653,-0.002239196130207605,-0.05202909503664291,-0.11931033270699638,2.2931464140010283,0.4726994,0.9310400784015656,8.576026744513266
752,0.99129,0.74198985,8684.691,0.4427500069141388,0.5569100379943848,0.8319699764251709,1.154860019683838,1.5693700313568115,2.0116400718688965,5.077851867675778,7.09305,0.11101,0.7485094,0.13975511,3.93493,20.94007,0.41304001212120056,13.206789201210956,0.0,0.35269946353156034,6.98204,0.3844879925251007,0.483379989862442,1.3729900121688843,0.43776178,0.9978537,0.76642257,1.0057644,0.7763931,1.0283037,0.7460869,0.93274146,0.671412,0.97038805,0.0590508,1.0000839,0.9636857,1.0180955,0.99686265,1.002048,1.0550771,1.0381557,0.99254197,0.97261614,0.91843194,0.9076533,1.026482,1.0065005,1.3306063,0.57133925,1.134288,1.3220128,19,1.3675783,3,676,0.8985498,0.7784713,6.9107,0.8297538,0.42541406,0.3860740163233086,-0.0024895413657767375,2314,0.93698734,0.71324736,6.41632,0.7203463,0.40095913,0.42921693083206636,0.016072454544292847,2997,0.9675421,0.735747,7.09305,0.74367714,0.3860773,0.4336028813034383,-0.039737339554491206,2774,1.0848448,0.7540396,6.8326797,0.81837326,0.4126174,0.39260411553227753,0.18044645704083134,0.92869323,0.82827497,0.9684202,1.2073286,0.09519635446368903,0.006535265786307199,0.0031002163887023817,-0.003452376127243062,0.017608083997453956,0.003238847255706775,0.006535265786307199,2.017775236171514,-0.09982383,0.5979499816894531,3.5445962887611087
803,0.6411267,0.81135434,5616.911,0.17778000235557556,0.266400009393692,0.5281100273132324,0.7748000025749207,1.039489984512329,1.2469799518585205,3.8480079650878882,12.65612,0.11191,1.2655133,0.050657444,8.366351,87.613,0.16425999999046326,23.788377278677306,0.0,0.3779248944184454,12.54421,0.16176000237464905,0.2099599987268448,0.9266600012779236,0.3508522,0.64325124,0.84765255,0.60193896,0.82805955,0.7410392,0.8900828,0.5776325,0.6487034,0.8680394,0.15125352,0.72780263,0.6369895,0.6081691,0.5660648,0.63042575,0.6897641,0.7458281,0.7858714,0.57861495,0.6352159,0.5171471,0.564242,0.8447543,1.4229238,0.47580403,1.168834,1.6844232,19,0.98016876,4,676,0.6606915,0.84702927,12.65612,0.86224073,0.2804689,0.45609648352512827,-0.0836670827522961,2314,0.5587747,0.7284995,12.55641,0.83061635,0.29337323,0.39019903392746974,-0.02123290953985684,2997,0.580648,0.86025,11.71896,0.9733181,0.30643108,0.31615763892147236,-0.0010987812589161692,2774,0.77039534,0.7976826,11.04007,0.89148843,0.30016026,0.3811974852311661,0.25742372502956995,1.137852,0.85760057,0.9623295,1.166044,0.09738655380438622,-0.006494953972952705,-0.0011919534206390342,-0.00026528358459473726,0.02586145707539149,-0.0005394186292375906,-0.006494953972952705,12.04065566317688,0.001395464,0.5083999931812286,5.84705799718271
820,2.0511923,1.7083055,17970.496,0.7149800062179565,0.8741099834442139,1.2866400480270386,2.695389986038208,4.616689682006836,5.950920104980469,7.772011947631833,12.64298,0.25852,0.8328354,0.16223963,1.6984519,2.5332177,0.6985800266265869,11.238279384771909,0.0,0.31400525054217554,12.3844595,0.691566002368927,0.7671499848365784,3.859950065612793,1.3181311,1.1929021,0.58837193,1.6657379,1.3162844,3.6670322,2.0640595,1.6565375,1.2779349,0.3253045,2.0058947,1.1736999,1.1976255,1.1606743,1.2428461,2.5800517,3.5646725,4.0110006,3.4221218,2.3499002,1.530422,1.0934943,1.2078637,0.9769985,1.4630034,0.48214442,1.1323227,1.4974469,18,3.3079221,5,676,1.1645228,0.48963842,6.39789,0.42442364,0.16843824,0.5797430093985464,-0.03289820133732451,2314,1.1045045,0.5877194,6.61935,0.57067746,0.22704038,0.4991617447655499,-0.06016035564851657,2997,1.4514561,0.9577655,7.73215,0.79544663,0.3762871,0.6020398514419697,0.3345587051235886,2774,3.704918,1.9538207,12.64298,1.1558588,0.63991886,0.8106831889835786,0.7271176988612679,0.8023135,0.3143181,0.7609631,3.1814904,0.6437981404823219,-0.00015156473432269242,-0.0017246031761169386,0.06904723405838016,0.23922675813947394,-0.00023543630327497675,-0.00015156473432269242,0.6437611031705381,-0.04031658,1.8212800025939941,6.457089207889641
1030,1.3564773,1.0069349,11884.098,0.5460900068283081,0.6563600301742554,1.1518700122833252,1.6435699462890625,2.396250009536743,2.9278199672698975,6.650207901000971,9.522779,0.15704,0.74231607,0.14244552,3.1408927,14.676647,0.5207799673080444,13.67072864037298,0.0,0.39436137427234336,9.36574,0.48645599484443663,0.57600998878479,2.0260701179504395,0.65658736,0.92634404,0.91541654,1.2075963,0.98519766,2.0305338,0.85990435,1.2511339,0.9134771,0.45620716,0.8011687,0.9069706,0.8643719,0.9967017,1.0401635,1.5805223,2.0010018,2.1358075,1.9538395,1.6397431,1.1629341,0.9536647,1.0017184,0.7680408,1.4889619,0.7187678,0.9630307,1.9386495,20,2.165917,4,676,0.9103359,0.93614095,7.6774197,0.8403301,0.26516205,0.5761712862751617,-0.060728185696620675,2314,0.85112655,0.79854,7.60346,0.6815379,0.21751635,0.5749626636852757,0.024874729441943126,2997,1.2112893,0.9646234,8.28706,0.8455165,0.27835006,0.5614862441278822,0.19316402700806212,2774,2.043608,0.83410585,9.522779,0.66082805,0.26635772,0.6560786222467413,0.5390383312743526,0.7515429,0.44545525,0.7026617,2.2448945,0.48968642531827666,0.0031677988597324912,0.00862594604492189,0.03318365573883057,0.07470862661089213,0.009146096706390381,0.0031677988597324912,0.3463552771663948,-0.065013885,0.9872099161148071,4.388012927491877
1293,1.9967773,1.5726068,17493.766,0.5249300003051758,0.8941699862480164,1.3014299869537354,2.888619899749756,4.270750045776367,5.201809883117676,6.937961769104003,10.82635,0.11777,0.78757244,0.1844368,1.4384634,1.9388013,0.46355998516082764,16.90379972021521,0.0,0.3629722634402465,10.70858,0.41043800115585327,0.6619899868965149,3.703200101852417,1.2562186,1.0188328,0.64595604,1.7059168,1.208668,3.6130176,1.6738577,1.6244779,1.1783718,0.28198946,1.9478202,0.9890267,1.0067543,1.2724919,1.2523625,2.5782652,3.4908617,3.8778477,3.4664035,2.3477387,1.5500718,0.978103,1.0595886,0.50833786,1.3134981,0.87479633,1.0295445,2.5839078,21,3.704174,7,676,0.8562521,0.5125906,5.3564,0.3630633,0.15361364,0.6033382425977628,0.022185926896637426,2314,0.98767334,0.65122706,5.62742,0.57319486,0.24747816,0.56283305684753,0.05067934978918742,2997,1.5243394,0.9385358,8.89518,0.78230256,0.41399667,0.604719745465869,0.3674482381332327,2774,3.626899,1.5417086,10.82635,1.0265993,0.6448205,0.7665203375760589,0.5564649504791991,0.5617201,0.23608379,0.64793533,4.235784,0.6985535343909902,0.007721252782004213,0.008559621572494515,0.07672077655792242,0.1352042756761823,0.011112402507237022,0.007721252782004213,0.6948319930794172,-0.16205615,1.9944499135017395,8.135846766794627
1332,2.0823512,1.3248768,18243.479,0.7912499904632568,1.1336500644683838,1.7028100490570068,2.743229866027832,3.9077701568603516,4.583240032196045,6.40794582366943,15.99168,0.43781,0.6362408,0.13021466,1.7235436,5.417492,0.6705099940299988,11.884172872665168,0.0,0.3756420499942929,15.55387,0.5391999840736389,0.9053599834442139,3.467059850692749,1.0127119,2.2137268,1.3563559,1.7188811,1.1113561,2.6874769,1.4912143,1.708048,1.032126,0.8237194,0.9740124,2.5378008,2.1706412,1.5032437,1.577629,2.0712142,2.638392,2.8635979,2.5588567,1.8494203,1.5522852,1.7276305,1.9281331,0.87502927,1.3895739,0.70703614,1.0314462,1.5880314,18,3.1262746,2,676,3.5168276,1.1651452,15.99168,0.7688436,0.4099513,0.7803844311453999,-0.701343075800182,2314,1.6904293,0.90457743,12.53041,0.88848245,0.42420974,0.5025540674335865,-0.3928442869677081,2997,1.3164133,0.80861014,9.50447,0.7228954,0.38030034,0.5622756964167193,0.1427762516913371,2774,2.8872235,1.383374,10.624781,0.82372046,0.50299186,0.8151663466204612,0.7432473096733858,2.6715224,1.2180656,1.2841175,0.8209739,0.16100590560469652,-0.15975234031677246,-0.05371603250503541,0.03287174224853516,0.14524108478001177,-0.040925431251525896,-0.15975234031677246,3.9034980312105114,0.70795083,1.6095798015594482,4.938730115588944
1528,0.76559806,0.5178005,6707.405,0.229420006275177,0.40786001086235046,0.6600099802017212,0.9864799976348877,1.361009955406189,1.680419921875,2.7325079917907673,4.9773703,0.16535,0.6763347,0.15381578,1.9941247,6.9705796,0.18493999540805817,15.984253076551587,0.0,0.4023513297568771,4.8120203,0.1709499955177307,0.2827700078487396,1.2100499868392944,0.37368062,0.7125533,0.5250566,0.6972878,0.50007325,0.9879198,0.49213004,0.6623803,0.4871289,0.7212663,0.3080858,0.75905293,0.72829926,0.6539036,0.59912235,0.83567095,0.9970966,1.0294665,0.93749213,0.7494971,0.6340113,0.604578,0.6517691,0.89926577,1.4453588,0.71395206,0.8858513,1.6072654,21,1.222604,4,676,0.90549123,0.54464114,4.6237497,0.55425364,0.35272297,0.40410470159649964,-0.24841282428311706,2314,0.60401744,0.4778084,4.9773703,0.5154826,0.31320906,0.40380637377485057,-0.13024437946122078,2997,0.6334482,0.46952602,4.67847,0.493146,0.28706095,0.40625699253710684,0.11958877387891832,2774,1.009067,0.49136838,4.85549,0.48046586,0.28556615,0.5009400518709924,0.3916819611199834,1.4294637,0.89735484,0.95353884,1.1143863,0.22798827888188963,-0.023188434328351718,-0.007303733825683595,0.012963973283767704,0.034602739810943584,-0.005310669285910464,-0.023188434328351718,4.366386434544526,0.072573066,0.5786199867725372,5.932394377906739
